Customer_id,Age,Credit_limit,Credit_utilization,Actual_Default,Num_late_payments,Max_delay,Average_delay,Total_payment,Total_bill,Payment_to_Bill_Ratio,Probability_of_Default,Risk_Score,Risk_Level
6908,46,50000,0.73,0,0,0.0,-0.7,36457,36334,1.0,0.32,32,Low
24576,31,150000,0.18,0,0,-1.0,-1.5,41694,26694,1.56,0.29,29,Low
26767,25,50000,1.0,0,0,0.0,0.0,11682,296559,0.04,0.41,41,Medium
2157,25,290000,1.0,1,0,0.0,0.0,81677,1627617,0.05,0.27,27,Low
3180,27,500000,0.13,0,0,-2.0,-2.0,78874,64907,1.22,0.14,14,Low
29383,29,200000,1.0,0,2,2.0,0.5,145040,1179532,0.12,0.42,42,Medium
24455,31,210000,1.0,0,0,0.0,0.0,21400,662672,0.03,0.35,35,Medium
23887,35,260000,1.0,0,0,0.0,0.0,60399,279135,0.22,0.24,24,Low
5505,42,450000,0.2,0,0,-1.0,-1.0,30264,88401,0.34,0.27,27,Low
29721,39,150000,0.89,0,0,0.0,0.0,8900,134164,0.07,0.36,36,Medium
6909,31,90000,0.91,0,2,2.0,0.2,58539,81574,0.72,0.58,58,Medium
2160,54,220000,0.0,0,0,-2.0,-2.0,0,0,0.0,0.3,30,Low
20843,40,180000,0.0,1,0,-2.0,-2.0,0,0,0.0,0.27,27,Low
25129,51,290000,1.0,0,0,0.0,0.0,42732,1116799,0.04,0.36,36,Medium
18809,31,210000,0.43,0,0,0.0,0.0,24016,90318,0.27,0.3,30,Low
19078,40,90000,1.0,0,6,2.0,1.8,10942,253153,0.04,0.86,86,High
24732,30,500000,0.75,0,0,-1.0,-1.8,230628,374171,0.62,0.04,4,Low
3055,60,350000,0.02,1,1,1.0,-0.8,6932,6932,1.0,0.65,65,Medium
8489,32,180000,1.0,0,0,0.0,0.0,35637,865486,0.04,0.35,35,Medium
23922,23,50000,0.09,0,0,0.0,-1.3,0,4332,0.0,0.41,41,Medium
8788,39,320000,0.94,0,0,0.0,0.0,54700,300324,0.18,0.23,23,Low
15140,60,410000,1.0,1,0,0.0,0.0,73512,1844472,0.04,0.32,32,Low
12739,24,80000,0.94,0,0,0.0,-1.0,14300,75285,0.19,0.35,35,Medium
25032,58,90000,1.0,0,0,0.0,0.0,17244,418987,0.04,0.44,44,Medium
20340,55,100000,0.02,1,0,-2.0,-2.0,2340,2340,1.0,0.31,31,Low
10309,34,70000,1.0,0,0,0.0,-0.2,27308,232549,0.12,0.35,35,Medium
14602,29,30000,1.0,0,0,0.0,-0.5,35327,58571,0.6,0.31,31,Low
3592,31,220000,0.1,0,0,-2.0,-2.0,20707,22628,0.92,0.23,23,Low
3561,57,80000,0.73,1,6,2.0,2.0,5850,58212,0.1,0.86,86,High
24891,30,80000,1.0,0,4,2.0,1.3,71839,295754,0.24,0.66,66,Medium
27482,57,160000,0.0,1,0,-1.0,-1.8,601,595,1.01,0.42,42,Medium
10272,29,60000,1.0,0,0,0.0,0.0,10600,256654,0.04,0.39,39,Medium
16626,32,50000,1.0,1,6,2.0,2.0,9500,196787,0.05,0.86,86,High
